Date : 2025-09-28 14:37:26
Directory : c:\Users\awa\Documents\coding\awasome-website-01
Total : 122 files,  11360 codes, 4095 comments, 2499 blanks, all 17954 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\awa\Documents\coding\awasome-website-01\source\critical.js                                      | JavaScript     |          0 |         28 |         14 |         42 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\index.html                                       | Vento          |         34 |         12 |         22 |         68 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\main.scss                                        | SCSS           |         89 |         17 |         33 |        139 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\main.ts                                          | TypeScript     |         83 |         16 |         41 |        140 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\modules\progressive_image_loading\core.js        | JavaScript     |         24 |          2 |          7 |         33 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\color-preview\colors.scss                  | SCSS           |         34 |          4 |         12 |         50 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\color-preview\index.html                   | Vento          |         19 |          1 |          5 |         25 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\color-preview\main.js                      | JavaScript     |          2 |         10 |          3 |         15 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\color-preview\main.scss                    | SCSS           |         30 |          0 |          8 |         38 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\imagetotext\index.html                     | Vento          |         70 |         59 |         20 |        149 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\imagetotext\main.scss                      | SCSS           |        248 |        135 |         61 |        444 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\imagetotext\main.ts                        | TypeScript     |        160 |         31 |         62 |        253 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\override.11tydata.js                       | JavaScript     |          7 |         45 |          7 |         59 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\templatepage\index.html                    | Vento          |         13 |          1 |          6 |         20 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\templatepage\main.scss                     | SCSS           |          8 |         10 |          7 |         25 |
| c:\Users\awa\Documents\coding\awasome-website-01\source\pages\templatepage\main.ts                       | TypeScript     |          2 |          0 |          2 |          4 |
| Total                                                                                                    |                |     11,360 |      4,095 |      2,499 |     17,954 |
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
