"filename", "language", "Vento", "SCSS", "TypeScript", "JavaScript", "Markdown", "Shell Script", "Go Module File", "YAML", "comment", "blank", "total"
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\template.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 14
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\test.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 5, 9, 89
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\test2.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 0, 5, 13, 182
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\test3.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 4, 20
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\misc\util.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 49, 25, 111
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\.eleventy.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 47, 18, 102
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\11ty-plugin-image.js", "JavaScript", 0, 0, 0, 119, 0, 0, 0, 0, 36, 34, 189
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\11ty-plugin-sass.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 84, 20, 143
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\11ty-postprocessors.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 14, 15, 60
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\11ty-preprocessors.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 15, 9, 62
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build-compile-util.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 13, 11, 45
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build-esbuild.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 22, 16, 77
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build-logger.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 25, 20, 90
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build-wrapper.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 11
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\build.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 0, 63, 50, 204
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\oldengine\config.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 0, 17, 29, 113
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\pages.11tydata.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 26, 1, 35
